"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 19 09:11:14 GMT 2025","Tue Aug 19 09:11:16 GMT 2025","2532","LMS system","Courses","Courses","","","Create course",""
"passed","Tue Aug 19 09:11:26 GMT 2025","Tue Aug 19 09:11:28 GMT 2025","1678","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Tue Aug 19 09:10:50 GMT 2025","Tue Aug 19 09:10:52 GMT 2025","1848","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Aug 19 09:11:07 GMT 2025","Tue Aug 19 09:11:09 GMT 2025","1934","LMS system","Authentication","Registration","","","Registration with correct email and password",""
"passed","Tue Aug 19 09:11:02 GMT 2025","Tue Aug 19 09:11:05 GMT 2025","2633","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Aug 19 09:11:08 GMT 2025","Tue Aug 19 09:11:10 GMT 2025","1680","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Tue Aug 19 09:10:59 GMT 2025","Tue Aug 19 09:11:01 GMT 2025","2575","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Aug 19 09:11:12 GMT 2025","Tue Aug 19 09:11:13 GMT 2025","1458","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Tue Aug 19 09:11:21 GMT 2025","Tue Aug 19 09:11:23 GMT 2025","1987","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Tue Aug 19 09:11:16 GMT 2025","Tue Aug 19 09:11:19 GMT 2025","3032","LMS system","Courses","Courses","","","Create course",""
"passed","Tue Aug 19 09:11:20 GMT 2025","Tue Aug 19 09:11:26 GMT 2025","5260","LMS system","Courses","Courses","","","Edit course",""
"passed","Tue Aug 19 09:11:14 GMT 2025","Tue Aug 19 09:11:16 GMT 2025","1418","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Tue Aug 19 09:10:55 GMT 2025","Tue Aug 19 09:10:56 GMT 2025","1352","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Aug 19 09:11:09 GMT 2025","Tue Aug 19 09:11:12 GMT 2025","2444","LMS system","Authentication","Registration","","","Registration with correct email and password",""
"passed","Tue Aug 19 09:11:05 GMT 2025","Tue Aug 19 09:11:07 GMT 2025","1270","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Tue Aug 19 09:10:50 GMT 2025","Tue Aug 19 09:10:54 GMT 2025","3672","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Tue Aug 19 09:11:17 GMT 2025","Tue Aug 19 09:11:20 GMT 2025","3335","LMS system","Courses","Courses","","","Edit course",""
"passed","Tue Aug 19 09:11:05 GMT 2025","Tue Aug 19 09:11:08 GMT 2025","2400","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Aug 19 09:10:53 GMT 2025","Tue Aug 19 09:10:55 GMT 2025","1727","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Aug 19 09:10:59 GMT 2025","Tue Aug 19 09:11:05 GMT 2025","5902","LMS system","Authentication","Authorization","","","User login with correct email and password",""
